年度,問題番号,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解
令和2年10月,11,"Ａ所有の甲土地につき、令和７年７月１日にＢとの間で居住の用に供する建物
の所有を目的として存続期間30年の約定で賃貸借契約（以下この問において「本件契約」とい
う。）が締結された場合に関する次の記述のうち、民法及び借地借家法の規定並びに判例によ
れば、正しいものはどれか。",Ｂは、借地権の登記をしていなくても、甲土地の引渡しを受けていれば、甲土地を令和７ 年７月２日に購入したＣに対して借地権を主張することができる。,本件契約で「一定期間は借賃の額の増減を行わない」旨を定めた場合には、甲土地の借賃 が近傍類似の土地の借賃と比較して不相当となったときであっても、当該期間中は、ＡもＢ も借賃の増減を請求することができない。,本件契約で「Ｂの債務不履行により賃貸借契約が解除された場合には、ＢはＡに対して建 物買取請求権を行使することができない」旨を定めても、この合意は無効となる。,ＡとＢとが期間満了に当たり本件契約を最初に更新する場合、更新後の存続期間を15年と 定めても、20年となる。,3
令和2年10月,12,"ＡとＢとの間でＡ所有の甲建物をＢに対して、居住の用を目的として、期間２
年、賃料月額10万円で賃貸する旨の賃貸借契約（以下この問において「本件契約」という。）
を締結し、Ｂが甲建物の引渡しを受けた場合に関する次の記述のうち、民法及び借地借家法の
規定並びに判例によれば、誤っているものはどれか。",ＡがＣに甲建物を売却した場合、Ｂは、それまでに契約期間中の賃料全額をＡに前払いし ていたことを、Ｃに対抗することができる。,本件契約が借地借家法第38条の定期建物賃貸借契約であって、賃料改定に関する特約がな い場合、経済事情の変動により賃料が不相当となったときは、ＡはＢに対し、賃料増額請求 をすることができる。,本件契約が借地借家法第38条の定期建物賃貸借契約である場合、Ａは、転勤、療養、親族 の介護その他のやむを得ない事情があれば、Ｂに対し、解約を申し入れ、申入れの日から１ 月を経過することによって、本件契約を終了させることができる。,本件契約が借地借家法第38条の定期建物賃貸借契約であって、造作買取請求に関する特約 がない場合、期間満了で本件契約が終了するときに、Ｂは、Ａの同意を得て甲建物に付加し た造作について買取請求をすることができる。 ― 6 ― 〈令和2年度10月〉,2
令和2年10月,13,建物の区分所有等に関する法律に関する次の記述のうち、正しいものはどれか。,共用部分の変更（その形状又は効用の著しい変更を伴わないものを除く。）は、区分所有 者及び議決権の各４分の３以上の多数による集会の決議で決するが、この区分所有者の定数 は、規約で２分の１以上の多数まで減ずることができる。,共用部分の管理に係る費用については、規約に別段の定めがない限り、共有者で等分する。,共用部分の保存行為をするには、規約に別段の定めがない限り、集会の決議で決する必要 があり、各共有者ですることはできない。,一部共用部分は、これを共用すべき区分所有者の共有に属するが、規約で別段の定めをす ることにより、区分所有者全員の共有に属するとすることもできる。,1
令和2年10月,14,"不動産の登記に関する次の記述のうち、不動産登記法の規定によれば、正しい
ものはどれか。",敷地権付き区分建物の表題部所有者から所有権を取得した者は、当該敷地権の登記名義人 の承諾を得なければ、当該区分建物に係る所有権の保存の登記を申請することができない。,所有権に関する仮登記に基づく本登記は、登記上の利害関係を有する第三者がある場合で あっても、その承諾を得ることなく、申請することができる。,債権者Ａが債務者Ｂに代位して所有権の登記名義人ＣからＢへの所有権の移転の登記を申 請した場合において、当該登記を完了したときは、登記官は、Ａに対し、当該登記に係る登 記識別情報を通知しなければならない。,配偶者居住権は、登記することができる権利に含まれない。,1
令和2年10月,15,都市計画法に関する次の記述のうち、正しいものはどれか。,地区計画については、都市計画に、地区施設及び地区整備計画を定めるよう努めるものと されている。,都市計画事業の認可の告示があった後に当該認可に係る事業地内の土地建物等を有償で譲 り渡そうとする者は、施行者の許可を受けなければならない。,第二種住居地域は、中高層住宅に係る良好な住居の環境を保護するため定める地域とされ ている。,市街化調整区域における地区計画は、市街化区域における市街化の状況等を勘案して、地 区計画の区域の周辺における市街化を促進することがない等当該都市計画区域における計画 的な市街化を図る上で支障がないように定めることとされている。 ― 7 ― 〈宅地建物取引士資格試験〉,4
令和2年10月,16,"都市計画法に関する次の記述のうち、誤っているものはどれか。なお、この問
において「都道府県知事」とは、地方自治法に基づく指定都市、中核市及び施行時特例市にあ
ってはその長をいうものとする。",開発許可を申請しようとする者は、あらかじめ、開発行為又は開発行為に関する工事によ り設置される公共施設を管理することとなる者と協議しなければならない。,都市計画事業の施行として行う建築物の新築であっても、市街化調整区域のうち開発許可 を受けた開発区域以外の区域内においては、都道府県知事の許可を受けなければ、建築物の 新築をすることができない。,開発許可を受けた開発行為により公共施設が設置されたときは、その公共施設は、工事完 了の公告の日の翌日において、原則としてその公共施設の存する市町村の管理に属するもの とされている。,開発許可を受けた者から当該開発区域内の土地の所有権を取得した者は、都道府県知事の 承認を受けて、当該開発許可を受けた者が有していた当該開発許可に基づく地位を承継する ことができる。,3
令和2年10月,17,建築基準法に関する次の記述のうち、正しいものはどれか。,階数が２で延べ面積が200㎡の鉄骨造の共同住宅の大規模の修繕をしようとする場合、建 築主は、当該工事に着手する前に、確認済証の交付を受けなければならない。,居室の天井の高さは、一室で天井の高さの異なる部分がある場合、室の床面から天井の最 も低い部分までの高さを2.1ｍ以上としなければならない。,"延べ面積が1,000㎡を超える準耐火建築物は、防火上有効な構造の防火壁又は防火床によ って有効に区画し、かつ、各区画の床面積の合計をそれぞれ1,000㎡以内としなければならな い。",高さ30ｍの建築物には、非常用の昇降機を設けなければならない。 ― 8 ― 〈令和2年度10月〉,1
令和2年10月,18,建築基準法に関する次の記述のうち、正しいものはどれか。,公衆便所及び巡査派出所については、特定行政庁の許可を得ないで、道路に突き出して建 築することができる。,近隣商業地域内において、客席の部分の床面積の合計が200㎡以上の映画館は建築するこ とができない。,建築物の容積率の算定の基礎となる延べ面積には、老人ホームの共用の廊下又は階段の用 に供する部分の床面積は、算入しないものとされている。,日影による中高層の建築物の高さの制限に係る日影時間の測定は、夏至日の真太陽時の午 前８時から午後４時までの間について行われる。,4
令和2年10月,19,"宅地造成及び特定盛土等規制法に関する次の記述のうち、誤っているものはど
れか。なお、この問において「都道府県知事」とは、地方自治法に基づく指定都市、中核市及
び施行時特例市にあってはその長をいうものとする。",土地の占有者は、都道府県知事又はその命じた者若しくは委任した者が、基礎調査のため に当該土地に立ち入って測量又は調査を行う場合、正当な理由がない限り、立入りを拒み、 又は妨げてはならない。,宅地を宅地以外の土地にするために行う土地の形質の変更は、宅地造成に該当しない。,宅地造成等工事規制区域内において、公共施設用地を宅地に転用する者は、宅地造成等に 関する工事を行わない場合でも、都道府県知事の許可を受けなければならない。,宅地造成等に関する工事の許可を受けた者が、工事施行者を変更する場合には、遅滞なく その旨を都道府県知事に届け出ればよく、改めて許可を受ける必要はない。 ― 9 ― 〈宅地建物取引士資格試験〉,2
令和2年10月,20,"土地区画整理組合（以下この問において「組合」という。）に関する次の記述
のうち、土地区画整理法の規定によれば、正しいものはどれか。",組合の設立認可を申請しようとする者は、施行地区となるべき区域内の宅地について借地 権を有するすべての者の３分の２以上の同意を得なければならないが、未登記の借地権を有 する者の同意を得る必要はない。,組合の総会の会議は、定款に特別な定めがある場合を除くほか、組合員の半数以上が出席 しなければ開くことができない。,組合が賦課金を徴収する場合、賦課金の額は、組合員が施行地区内に有する宅地又は借地 の地積等にかかわらず一律に定めなければならない。,組合の施行する土地区画整理事業に参加することを希望する者のうち、当該土地区画整理 事業に参加するのに必要な資力及び信用を有する者であって定款で定められたものは、参加 組合員として組合員となる。,1
令和2年10月,21,"農地に関する次の記述のうち、農地法（以下この問において「法」という。）
の規定によれば、正しいものはどれか。",法第３条第１項の許可が必要な農地の売買については、この許可を受けずに売買契約を締 結しても所有権移転の効力は生じない。,市街化区域内の自己の農地を駐車場に転用する場合には、農地転用した後に農業委員会に 届け出ればよい。,相続により農地を取得することとなった場合には、法第３条第１項の許可を受ける必要が ある。,農地に抵当権を設定する場合には、法第３条第１項の許可を受ける必要がある。 ― 10 ― 〈令和2年度10月〉,2
令和2年10月,22,"国土利用計画法第23条の届出（以下この問において「事後届出」という。）に
関する次の記述のうち、正しいものはどれか。","Ａが所有する市街化区域内の1,500㎡の土地をＢが購入した場合には、Ｂは事後届出を行 う必要はないが、Ｃが所有する市街化調整区域内の6,000㎡の土地についてＤと売買に係る予 約契約を締結した場合には、Ｄは事後届出を行う必要がある。","Ｅが所有する市街化区域内の2,000㎡の土地をＦが購入した場合、Ｆは当該土地の所有権 移転登記を完了した日から起算して２週間以内に事後届出を行う必要がある。","Ｇが所有する都市計画区域外の15,000㎡の土地をＨに贈与した場合、Ｈは事後届出を行う 必要がある。","Ｉが所有する都市計画区域外の10,000㎡の土地とＪが所有する市街化調整区域内の10,00 0㎡の土地を交換した場合、Ｉ及びＪは事後届出を行う必要はない。",4
令和2年10月,23,印紙税に関する次の記述のうち、正しいものはどれか。,"「建物の電気工事に係る請負代金は1,100万円（うち消費税額及び地方消費税額100万円 ）とする」旨を記載した工事請負契約書について、印紙税の課税標準となる当該契約書の記 載金額は1,100万円である。","「Ａの所有する土地（価額5,000万円）とＢの所有する土地（価額4,000万円）とを交換す る」旨の土地交換契約書を作成した場合、印紙税の課税標準となる当該契約書の記載金額は4, 000万円である。",国を売主、株式会社Ｃを買主とする土地の売買契約において、共同で売買契約書を２通作 成し、国とＣ社がそれぞれ１通ずつ保存することとした場合、Ｃ社が保存する契約書には印 紙税は課されない。,"「契約期間は10年間、賃料は月額10万円、権利金の額は100万円とする」旨が記載された 土地の賃貸借契約書は、記載金額1,300万円の土地の賃借権の設定に関する契約書として印紙 税が課される。 ― 11 ― 〈宅地建物取引士資格試験〉",2
令和2年10月,24,不動産取得税に関する次の記述のうち、正しいものはどれか。,令和７年４月に個人が取得した住宅及び住宅用地に係る不動産取得税の税率は３％である が、住宅用以外の土地に係る不動産取得税の税率は４％である。,一定の面積に満たない土地の取得に対しては、狭小な不動産の取得者に対する税負担の排 除の観点から、不動産取得税を課することができない。,不動産取得税は、不動産の取得に対して課される税であるので、家屋を改築したことによ り、当該家屋の価格が増加したとしても、不動産取得税は課されない。,共有物の分割による不動産の取得については、当該不動産の取得者の分割前の当該共有物 に係る持分の割合を超えない部分の取得であれば、不動産取得税は課されない。,3
令和2年10月,25,"不動産の鑑定評価に関する次の記述のうち、不動産鑑定評価基準によれば、誤
っているものはどれか。",不動産の価格は、その不動産の効用が最高度に発揮される可能性に最も富む使用を前提と して把握される価格を標準として形成されるが、不動産についての現実の使用方法は当該不 動産が十分な効用を発揮していない場合があることに留意すべきである。,対象建築物に関する工事が完了していない場合でも、当該工事の完了を前提として鑑定評 価を行うことがある。,特殊価格とは、一般的に市場性を有しない不動産について、その利用現況等を前提とした 不動産の経済価値を適正に表示する価格をいい、例としては、文化財の指定を受けた建造物 について、その保存等に主眼をおいた鑑定評価を行う場合において求められる価格があげら れる。,原価法は、対象不動産が建物及びその敷地である場合において、再調達原価の把握及び減 価修正を適切に行うことができるときに有効な手法であるが、対象不動産が土地のみである 場合には、この手法を適用することはできない。 ― 12 ― 〈令和2年度10月〉,3
令和2年10月,26,"宅地建物取引業の免許（以下この問において「免許」という。）に関する次の
記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。",宅地建物取引業者Ａ社（甲県知事免許）が宅地建物取引業者ではないＢ社との合併により 消滅した場合には、Ｂ社は、Ａ社が消滅した日から30日以内にＡ社を合併した旨を甲県知事 に届け出れば、Ａ社が受けていた免許を承継することができる。,信託業法第３条の免許を受けた信託会社が宅地建物取引業を営もうとする場合には、国土 交通大臣の免許を受けなければならない。,個人Ｃが、転売目的で競売により取得した宅地を多数の区画に分割し、宅地建物取引業者 Ｄに販売代理を依頼して、不特定多数の者に分譲する事業を行おうとする場合には、免許を 受けなければならない。,宅地建物取引業者Ｅ（乙県知事免許）は、乙県内に２以上の事務所を設置してその事業を 営もうとする場合には、国土交通大臣に免許換えの申請をしなければならない。,4
令和2年10月,27,"宅地建物取引業者がその業務に関して行う広告に関する次の記述のうち、宅地
建物取引業法の規定によれば、正しいものはいくつあるか。
ア　建物の売却について代理を依頼されて広告を行う場合、取引態様として、代理であること
を明示しなければならないが、その後、当該物件の購入の注文を受けたときは、広告を行っ
た時点と取引態様に変更がない場合を除き、遅滞なく、その注文者に対し取引態様を明らか
にしなければならない。
イ　広告をするに当たり、実際のものよりも著しく優良又は有利であると人を誤認させるよう
な表示をしてはならないが、誤認させる方法には限定がなく、宅地又は建物に係る現在又は
将来の利用の制限の一部を表示しないことにより誤認させることも禁止されている。
ウ　複数の区画がある宅地の売買について、数回に分けて広告をする場合は、広告の都度取引
態様の別を明示しなければならない。
エ　宅地の造成又は建物の建築に関する工事の完了前においては、当該工事に必要な都市計画
法に基づく開発許可、建築基準法に基づく建築確認その他法令に基づく許可等の申請をした
後でなければ、当該工事に係る宅地又は建物の売買その他の業務に関する広告をしてはなら
ない。",一つ,二つ,三つ,四つ ― 13 ― 〈宅地建物取引士資格試験〉,1
令和2年10月,28,"宅地建物取引士に関する次の記述のうち、宅地建物取引業法の規定によれば、
正しいものはどれか。",宅地建物取引士資格試験に合格した者は、合格した日から10年以内に登録の申請をしなけ れば、その合格は無効となる。,宅地建物取引士証の有効期間の更新の申請は、有効期間満了の90日前から30日前までに する必要がある。,宅地建物取引士は、重要事項の説明をするときは説明の相手方からの請求の有無にかかわ らず宅地建物取引士証を提示しなければならず、また、取引の関係者から請求があったとき にも宅地建物取引士証を提示しなければならない。,甲県知事の登録を受けている宅地建物取引士が、乙県知事に登録の移転を申請するときは、 乙県知事が指定する講習を受講しなければならない。,2
令和2年10月,29,"宅地建物取引業者Ａが、ＢからＢ所有の住宅の売却の媒介を依頼された場合に
おける次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の規定によ
れば、正しいものはいくつあるか。なお、書面の交付及び書面の引渡しには、依頼者の承諾を
得て行う電磁的方法による提供を含むものとする。
ア　Ａは、Ｂとの間で専任媒介契約を締結し、所定の事項を指定流通機構に登録したときは、
その登録を証する書面を遅滞なくＢに引き渡さなければならない。
イ　Ａは、Ｂとの間で媒介契約を締結したときは、当該契約が国土交通大臣が定める標準媒介
契約約款に基づくものであるか否かの別を、法第34条の２第１項の規定に基づき交付すべき
書面に記載しなければならない。
ウ　Ａは、Ｂとの間で専任媒介契約を締結するときは、Ｂの要望に基づく場合を除き、当該契
約の有効期間について、有効期間満了時に自動的に更新する旨の特約をすることはできない。
エ　Ａは、Ｂとの間で専属専任媒介契約を締結したときは、Ｂに対し、当該契約に係る業務の
処理状況を１週間に１回以上報告しなければならない。",一つ,二つ,三つ,四つ ― 14 ― 〈令和2年度10月〉,4
令和2年10月,30,"宅地建物取引業者Ａ及び宅地建物取引業者Ｂ（ともに消費税課税事業者）が受
領する報酬に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。
なお、借賃には消費税等相当額を含まず、貸借の代理又は媒介をする宅地又は建物は長期の空
家等には該当しないものとする。","Ａは売主から代理の依頼を、Ｂは買主から媒介の依頼を、それぞれ受けて、代金5,000万 円の宅地の売買契約を成立させた場合、Ａは売主から343万2,000円、Ｂは買主から171万6, 000円、合計で514万8,000円の報酬を受けることができる。",Ａが単独で行う居住用建物の貸借の媒介に関して、Ａが依頼者の一方から受けることがで きる報酬の上限額は、当該媒介の依頼者から報酬請求時までに承諾を得ている場合には、借 賃の1.1か月分である。,"Ａが単独で貸主と借主の双方から店舗用建物の貸借の媒介の依頼を受け、１か月の借賃25 万円、権利金330万円（権利設定の対価として支払われるもので、返還されないものをいい、 消費税等相当額を含む。）の賃貸借契約を成立させた場合、Ａが依頼者の一方から受けるこ とができる報酬の上限額は、30万8,000円である。",Ａが単独で行う事務所用建物の貸借の媒介に関し、Ａが受ける報酬の合計額が借賃の1.1 か月分以内であれば、Ａは依頼者の双方からどのような割合で報酬を受けてもよく、また、 依頼者の一方のみから報酬を受けることもできる。,1
令和2年10月,31,"宅地建物取引業者が行う宅地建物取引業法第35条に規定する重要事項の説明に
関する次の記述のうち、正しいものはどれか。なお、説明の相手方は宅地建物取引業者ではな
いものとする。",建物の売買の媒介だけでなく建物の貸借の媒介を行う場合においても、損害賠償額の予定 又は違約金に関する事項について、説明しなければならない。,建物の売買の媒介を行う場合、当該建物について、石綿の使用の有無の調査の結果が記録 されているか照会を行ったにもかかわらず、その存在の有無が分からないときは、宅地建物 取引業者自らが石綿の使用の有無の調査を実施し、その結果を説明しなければならない。,建物の売買の媒介を行う場合、当該建物が既存の住宅であるときは、建物状況調査を実施 しているかどうかを説明しなければならないが、実施している場合その結果の概要を説明す る必要はない。,区分所有建物の売買の媒介を行う場合、建物の区分所有等に関する法律第２条第３項に規 定する専有部分の用途その他の利用の制限に関する規約の定めがあるときは、その内容を説 明しなければならないが、区分所有建物の貸借の媒介を行う場合は、説明しなくてよい。 ― 15 ― 〈宅地建物取引士資格試験〉,3
令和2年10月,32,"宅地建物取引業者Ａが、自ら売主として、宅地建物取引業者ではないＢとの間
で建物の売買契約を締結する場合における次の記述のうち、宅地建物取引業法（以下この問に
おいて「法」という。）の規定によれば、正しいものはどれか。",ＡＢ間の建物の売買契約において、Ｂが当該契約の履行に着手した後においては、Ａは、 契約の締結に際してＢから受領した手付金の倍額をＢに現実に提供したとしても、契約を解 除することはできない。,ＡＢ間の建物の売買契約における「法第37条の２の規定に基づくクーリング・オフによる 契約の解除の際に、当該契約の締結に際しＡがＢから受領した手付金は返還しない」旨の特 約は有効である。,ＡＢ間の建物の割賦販売の契約において、Ｂからの賦払金が当初設定していた支払期日ま でに支払われなかった場合、Ａは直ちに賦払金の支払の遅滞を理由として当該契約を解除す ることができる。,"ＡＢ間で工事の完了前に当該工事に係る建物（代金5,000万円）の売買契約を締結する場 合、Ａは、法第41条に定める手付金等の保全措置を講じた後でなければ、Ｂから200万円の 手付金を受領してはならない。",3
